@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,female,289,1.77702447884,1,post_midnight,28,3.091,0.0
21,female,936,0.698699442232,8,post_midnight,477,9.583,1.60943791243
?,male,769,0.666581887686,6,evening,16,7.73,1.94591014906
?,male,1042,0.599755610719,4,night,16,10.61,0.0
?,male,998,0.600205342291,8,evening,1890,5.65,0
?,male,769,0.90070282151,1,post_midnight,238,7.73,2.3978952728
?,female,516,0.797105454999,10,early_morning,121,12.53,2.07944154168
?,female,?,0.845234109957,12,night,570,12.494,2.30258509299
?,female,621,0.410951735843,5,post_midnight,29,3.505,0.69314718056
?,female,875,2.17600661539,8,evening,47,3.76,0
?,male,515,1.02919890336,3,evening,83,4.29,0.69314718056
21,male,640,0.902969684387,8,early_morning,21,4.44,2.3978952728
